anime_id,Anime Name,rating
48736,Sono Bisque Doll wa Koi wo Suru,4
35839,Sora yori mo Tooi Basho,9
52991,Sousou no Frieren,10
50265,Spy x Family,8
50602,Spy x Family Part 2,8
53887,Spy x Family Season 2,7
40870,SSSS.Dynazenon,7
35847,SSSS.Gridman,6
9253,Steins;Gate,10
54234,Suki na Ko ga Megane wo Wasureta,7
47194,Summertime Render,9
57915,Suu-funkan no Yell wo,8
50594,Suzume no Tojimari,8
849,Suzumiya Haruhi no Yuuutsu,7
11757,Sword Art Online,8
21881,Sword Art Online II,8
31765,Sword Art Online Movie: Ordinal Scale,7
36474,Sword Art Online: Alicization,9
39597,Sword Art Online: Alicization - War of Underworld,8
40540,Sword Art Online: Alicization - War of Underworld 2nd Season,8
42916,Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,8
50275,Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo,7
36470,Tada-kun wa Koi wo Shinai,7
35790,Tate no Yuusha no Nariagari,8
40356,Tate no Yuusha no Nariagari Season 2,4
52962,"Tearmoon Teikoku Monogatari: Dantoudai kara Hajimaru, Hime no Tensei Gyakuten Story",8
54275,Temple,6
4107,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,9
4565,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8
53393,Tengoku Daimakyou,8
38826,Tenki no Ko,8
52608,Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,7
52736,Tensei Oujo to Tensai Reijou no Mahou Kakumei,7
37430,Tensei shitara Slime Datta Ken,9
39551,Tensei shitara Slime Datta Ken 2nd Season,9
41488,Tensura Nikki: Tensei shitara Slime Datta Ken,8
10278,The iDOLM@STER,7
14835,The iDOLM@STER Shiny Festa,6
11889,The iDOLM@STER: 765 Pro to Iu Monogatari,6
16870,The Last: Naruto the Movie,7
54431,Toaru Ossan no VRMMO Katsudouki,4
54744,Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,8
42249,Tokyo Revengers,5
41389,Tonikaku Kawaii,7
50307,Tonikaku Kawaii 2nd Season,7
4224,Toradora!,8
58059,Tsue to Tsurugi no Wistoria,7
34822,Tsuki ga Kirei,9
38573,Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka?,4
53379,Uchi no Kaisha no Chiisai Senpai no Hanashi,6
53835,Unnamed Memory,5
33352,Violet Evergarden,9
53833,Watashi no Oshi wa Akuyaku Reijou.,7
51552,Watashi no Shiawase na Kekkon,7
37393,"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!",6
54900,Wind Breaker,7
35968,Wotaku ni Koi wa Muzukashii,4
37786,Yagate Kimi ni Naru,8
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,9
39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,10
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,10
37779,Yakusoku no Neverland,9
39617,Yakusoku no Neverland 2nd Season,1
53126,Yamada-kun to Lv999 no Koi wo Suru,8
